,ID,prediction
1,2019 X 8 X C1007 X AS46000,0
2,2019 X 9 X C1007 X AS46000,0
0,2019 X 7 X C1008 X AS17005,0
1,2019 X 8 X C1008 X AS17005,0
2,2019 X 9 X C1008 X AS17005,0
0,2019 X 7 X C1008 X AS21126,0
1,2019 X 8 X C1008 X AS21126,0
2,2019 X 9 X C1008 X AS21126,0
0,2019 X 7 X C1008 X AS27000,0
1,2019 X 8 X C1008 X AS27000,16
2,2019 X 9 X C1008 X AS27000,16
0,2019 X 7 X C1008 X AS27132,0
1,2019 X 8 X C1008 X AS27132,2
2,2019 X 9 X C1008 X AS27132,0
0,2019 X 7 X C1008 X AS27133,0
1,2019 X 8 X C1008 X AS27133,0
2,2019 X 9 X C1008 X AS27133,0
0,2019 X 7 X C1008 X AS27134,0
1,2019 X 8 X C1008 X AS27134,20
2,2019 X 9 X C1008 X AS27134,0
0,2019 X 7 X C1008 X AS27137,9
1,2019 X 8 X C1008 X AS27137,11
2,2019 X 9 X C1008 X AS27137,5
0,2019 X 7 X C1008 X AS27138,19
1,2019 X 8 X C1008 X AS27138,10
2,2019 X 9 X C1008 X AS27138,19
0,2019 X 7 X C1008 X AS27139,0
1,2019 X 8 X C1008 X AS27139,0
2,2019 X 9 X C1008 X AS27139,0
0,2019 X 7 X C1008 X AS42018,0
1,2019 X 8 X C1008 X AS42018,0
2,2019 X 9 X C1008 X AS42018,0
0,2019 X 7 X C1008 X AS46000,0
1,2019 X 8 X C1008 X AS46000,0
2,2019 X 9 X C1008 X AS46000,0
0,2019 X 7 X C1009 X AS17005,0
1,2019 X 8 X C1009 X AS17005,0
2,2019 X 9 X C1009 X AS17005,0
0,2019 X 7 X C1009 X AS21126,0
1,2019 X 8 X C1009 X AS21126,0
2,2019 X 9 X C1009 X AS21126,0
0,2019 X 7 X C1009 X AS27000,0
1,2019 X 8 X C1009 X AS27000,92
2,2019 X 9 X C1009 X AS27000,3
0,2019 X 7 X C1009 X AS27132,0
1,2019 X 8 X C1009 X AS27132,0
2,2019 X 9 X C1009 X AS27132,0
0,2019 X 7 X C1009 X AS27133,3
1,2019 X 8 X C1009 X AS27133,46
2,2019 X 9 X C1009 X AS27133,67
0,2019 X 7 X C1009 X AS27134,0
1,2019 X 8 X C1009 X AS27134,0
2,2019 X 9 X C1009 X AS27134,0
0,2019 X 7 X C1009 X AS27137,0
1,2019 X 8 X C1009 X AS27137,7
2,2019 X 9 X C1009 X AS27137,1
0,2019 X 7 X C1009 X AS27138,4
1,2019 X 8 X C1009 X AS27138,18
2,2019 X 9 X C1009 X AS27138,0
0,2019 X 7 X C1009 X AS27139,0
1,2019 X 8 X C1009 X AS27139,0
2,2019 X 9 X C1009 X AS27139,0
0,2019 X 7 X C1009 X AS42018,0
1,2019 X 8 X C1009 X AS42018,0
2,2019 X 9 X C1009 X AS42018,0
0,2019 X 7 X C1009 X AS46000,0
1,2019 X 8 X C1009 X AS46000,0
2,2019 X 9 X C1009 X AS46000,0
0,2019 X 7 X C1010 X AS17005,0
1,2019 X 8 X C1010 X AS17005,0
2,2019 X 9 X C1010 X AS17005,0
0,2019 X 7 X C1010 X AS21126,0
1,2019 X 8 X C1010 X AS21126,0
2,2019 X 9 X C1010 X AS21126,0
0,2019 X 7 X C1010 X AS27000,9
1,2019 X 8 X C1010 X AS27000,8
2,2019 X 9 X C1010 X AS27000,23
0,2019 X 7 X C1010 X AS27132,2
1,2019 X 8 X C1010 X AS27132,3
2,2019 X 9 X C1010 X AS27132,5
0,2019 X 7 X C1010 X AS27133,18
1,2019 X 8 X C1010 X AS27133,1
2,2019 X 9 X C1010 X AS27133,107
0,2019 X 7 X C1010 X AS27134,27
1,2019 X 8 X C1010 X AS27134,0
2,2019 X 9 X C1010 X AS27134,6
0,2019 X 7 X C1010 X AS27137,4
1,2019 X 8 X C1010 X AS27137,8
2,2019 X 9 X C1010 X AS27137,8
0,2019 X 7 X C1010 X AS27138,4
1,2019 X 8 X C1010 X AS27138,7
2,2019 X 9 X C1010 X AS27138,3
0,2019 X 7 X C1010 X AS27139,0
1,2019 X 8 X C1010 X AS27139,0
2,2019 X 9 X C1010 X AS27139,0
0,2019 X 7 X C1010 X AS42018,0
1,2019 X 8 X C1010 X AS42018,0
2,2019 X 9 X C1010 X AS42018,0
0,2019 X 7 X C1010 X AS46000,0
1,2019 X 8 X C1010 X AS46000,0
2,2019 X 9 X C1010 X AS46000,0
0,2019 X 7 X C1011 X AS17005,0
1,2019 X 8 X C1011 X AS17005,0
2,2019 X 9 X C1011 X AS17005,0
0,2019 X 7 X C1011 X AS21126,0
1,2019 X 8 X C1011 X AS21126,0
2,2019 X 9 X C1011 X AS21126,1
0,2019 X 7 X C1011 X AS27000,15
1,2019 X 8 X C1011 X AS27000,18
2,2019 X 9 X C1011 X AS27000,16
0,2019 X 7 X C1011 X AS27132,15
1,2019 X 8 X C1011 X AS27132,5
2,2019 X 9 X C1011 X AS27132,1
0,2019 X 7 X C1011 X AS27133,39
1,2019 X 8 X C1011 X AS27133,34
2,2019 X 9 X C1011 X AS27133,28
0,2019 X 7 X C1011 X AS27134,1
1,2019 X 8 X C1011 X AS27134,9
2,2019 X 9 X C1011 X AS27134,32
0,2019 X 7 X C1011 X AS27137,8
1,2019 X 8 X C1011 X AS27137,0
2,2019 X 9 X C1011 X AS27137,11
0,2019 X 7 X C1011 X AS27138,57
1,2019 X 8 X C1011 X AS27138,20
2,2019 X 9 X C1011 X AS27138,21
0,2019 X 7 X C1011 X AS27139,0
1,2019 X 8 X C1011 X AS27139,0
2,2019 X 9 X C1011 X AS27139,0
0,2019 X 7 X C1011 X AS42018,0
1,2019 X 8 X C1011 X AS42018,0
2,2019 X 9 X C1011 X AS42018,0
0,2019 X 7 X C1011 X AS46000,0
1,2019 X 8 X C1011 X AS46000,0
2,2019 X 9 X C1011 X AS46000,1
0,2019 X 7 X C1014 X AS17005,0
1,2019 X 8 X C1014 X AS17005,0
2,2019 X 9 X C1014 X AS17005,0
0,2019 X 7 X C1014 X AS21126,0
1,2019 X 8 X C1014 X AS21126,0
2,2019 X 9 X C1014 X AS21126,0
0,2019 X 7 X C1014 X AS27000,2
1,2019 X 8 X C1014 X AS27000,1
2,2019 X 9 X C1014 X AS27000,1
0,2019 X 7 X C1014 X AS27132,0
1,2019 X 8 X C1014 X AS27132,0
2,2019 X 9 X C1014 X AS27132,1
0,2019 X 7 X C1014 X AS27133,11
1,2019 X 8 X C1014 X AS27133,1
2,2019 X 9 X C1014 X AS27133,6
0,2019 X 7 X C1014 X AS27134,4
1,2019 X 8 X C1014 X AS27134,0
2,2019 X 9 X C1014 X AS27134,1
0,2019 X 7 X C1014 X AS27137,3
1,2019 X 8 X C1014 X AS27137,1
2,2019 X 9 X C1014 X AS27137,0
0,2019 X 7 X C1014 X AS27138,6
1,2019 X 8 X C1014 X AS27138,0
2,2019 X 9 X C1014 X AS27138,2
0,2019 X 7 X C1014 X AS27139,0
1,2019 X 8 X C1014 X AS27139,0
2,2019 X 9 X C1014 X AS27139,0
0,2019 X 7 X C1014 X AS42018,0
1,2019 X 8 X C1014 X AS42018,0
2,2019 X 9 X C1014 X AS42018,0
0,2019 X 7 X C1014 X AS46000,9
1,2019 X 8 X C1014 X AS46000,53
2,2019 X 9 X C1014 X AS46000,0
0,2019 X 7 X C1015 X AS17005,2
1,2019 X 8 X C1015 X AS17005,0
2,2019 X 9 X C1015 X AS17005,1
0,2019 X 7 X C1015 X AS21126,0
1,2019 X 8 X C1015 X AS21126,0
2,2019 X 9 X C1015 X AS21126,0
0,2019 X 7 X C1015 X AS27000,17
1,2019 X 8 X C1015 X AS27000,3
2,2019 X 9 X C1015 X AS27000,10
0,2019 X 7 X C1015 X AS27132,0
1,2019 X 8 X C1015 X AS27132,21
2,2019 X 9 X C1015 X AS27132,0
0,2019 X 7 X C1015 X AS27133,14
1,2019 X 8 X C1015 X AS27133,0
2,2019 X 9 X C1015 X AS27133,0
0,2019 X 7 X C1015 X AS27134,15
1,2019 X 8 X C1015 X AS27134,19
2,2019 X 9 X C1015 X AS27134,0
0,2019 X 7 X C1015 X AS27137,0
1,2019 X 8 X C1015 X AS27137,2
2,2019 X 9 X C1015 X AS27137,0
0,2019 X 7 X C1015 X AS27138,1
1,2019 X 8 X C1015 X AS27138,0
2,2019 X 9 X C1015 X AS27138,0
0,2019 X 7 X C1015 X AS27139,1
1,2019 X 8 X C1015 X AS27139,0
2,2019 X 9 X C1015 X AS27139,1
0,2019 X 7 X C1015 X AS42018,0
1,2019 X 8 X C1015 X AS42018,0
2,2019 X 9 X C1015 X AS42018,0
0,2019 X 7 X C1015 X AS46000,184
1,2019 X 8 X C1015 X AS46000,19
2,2019 X 9 X C1015 X AS46000,48
0,2019 X 7 X C1017 X AS17005,0
1,2019 X 8 X C1017 X AS17005,0
2,2019 X 9 X C1017 X AS17005,0
0,2019 X 7 X C1017 X AS21126,0
1,2019 X 8 X C1017 X AS21126,0
2,2019 X 9 X C1017 X AS21126,0
0,2019 X 7 X C1017 X AS27000,0
1,2019 X 8 X C1017 X AS27000,0
2,2019 X 9 X C1017 X AS27000,0
0,2019 X 7 X C1017 X AS27132,0
1,2019 X 8 X C1017 X AS27132,0
2,2019 X 9 X C1017 X AS27132,0
0,2019 X 7 X C1017 X AS27133,23
1,2019 X 8 X C1017 X AS27133,0
2,2019 X 9 X C1017 X AS27133,11
0,2019 X 7 X C1017 X AS27134,0
1,2019 X 8 X C1017 X AS27134,0
2,2019 X 9 X C1017 X AS27134,1
0,2019 X 7 X C1017 X AS27137,3
1,2019 X 8 X C1017 X AS27137,0
2,2019 X 9 X C1017 X AS27137,3
0,2019 X 7 X C1017 X AS27138,3
1,2019 X 8 X C1017 X AS27138,5
2,2019 X 9 X C1017 X AS27138,0
0,2019 X 7 X C1017 X AS27139,0
1,2019 X 8 X C1017 X AS27139,0
2,2019 X 9 X C1017 X AS27139,0
0,2019 X 7 X C1017 X AS42018,0
1,2019 X 8 X C1017 X AS42018,0
2,2019 X 9 X C1017 X AS42018,0
0,2019 X 7 X C1017 X AS46000,0
1,2019 X 8 X C1017 X AS46000,0
2,2019 X 9 X C1017 X AS46000,0
0,2019 X 7 X C1018 X AS17005,0
1,2019 X 8 X C1018 X AS17005,2
2,2019 X 9 X C1018 X AS17005,0
0,2019 X 7 X C1018 X AS21126,0
1,2019 X 8 X C1018 X AS21126,0
2,2019 X 9 X C1018 X AS21126,0
0,2019 X 7 X C1018 X AS27000,75
1,2019 X 8 X C1018 X AS27000,67
2,2019 X 9 X C1018 X AS27000,134
0,2019 X 7 X C1018 X AS27132,24
1,2019 X 8 X C1018 X AS27132,1
2,2019 X 9 X C1018 X AS27132,0
0,2019 X 7 X C1018 X AS27133,50
1,2019 X 8 X C1018 X AS27133,113
2,2019 X 9 X C1018 X AS27133,57
0,2019 X 7 X C1018 X AS27134,27
1,2019 X 8 X C1018 X AS27134,49
2,2019 X 9 X C1018 X AS27134,0
0,2019 X 7 X C1018 X AS27137,54
1,2019 X 8 X C1018 X AS27137,0
2,2019 X 9 X C1018 X AS27137,14
0,2019 X 7 X C1018 X AS27138,22
1,2019 X 8 X C1018 X AS27138,27
2,2019 X 9 X C1018 X AS27138,19
0,2019 X 7 X C1018 X AS27139,2
1,2019 X 8 X C1018 X AS27139,16
2,2019 X 9 X C1018 X AS27139,4
0,2019 X 7 X C1018 X AS42018,1
1,2019 X 8 X C1018 X AS42018,0
2,2019 X 9 X C1018 X AS42018,0
0,2019 X 7 X C1018 X AS46000,0
1,2019 X 8 X C1018 X AS46000,6
2,2019 X 9 X C1018 X AS46000,111
0,2019 X 7 X C1024 X AS17005,0
1,2019 X 8 X C1024 X AS17005,0
2,2019 X 9 X C1024 X AS17005,0
0,2019 X 7 X C1024 X AS21126,0
1,2019 X 8 X C1024 X AS21126,0
2,2019 X 9 X C1024 X AS21126,0
0,2019 X 7 X C1024 X AS27000,93
1,2019 X 8 X C1024 X AS27000,91
2,2019 X 9 X C1024 X AS27000,0
0,2019 X 7 X C1024 X AS27132,0
1,2019 X 8 X C1024 X AS27132,6
2,2019 X 9 X C1024 X AS27132,4
0,2019 X 7 X C1024 X AS27133,83
1,2019 X 8 X C1024 X AS27133,34
2,2019 X 9 X C1024 X AS27133,116
0,2019 X 7 X C1024 X AS27134,179
1,2019 X 8 X C1024 X AS27134,0
2,2019 X 9 X C1024 X AS27134,0
0,2019 X 7 X C1024 X AS27137,18
1,2019 X 8 X C1024 X AS27137,0
2,2019 X 9 X C1024 X AS27137,0
0,2019 X 7 X C1024 X AS27138,8
1,2019 X 8 X C1024 X AS27138,0
2,2019 X 9 X C1024 X AS27138,13
0,2019 X 7 X C1024 X AS27139,0
1,2019 X 8 X C1024 X AS27139,0
2,2019 X 9 X C1024 X AS27139,0
0,2019 X 7 X C1024 X AS42018,0
1,2019 X 8 X C1024 X AS42018,0
2,2019 X 9 X C1024 X AS42018,0
0,2019 X 7 X C1024 X AS46000,0
1,2019 X 8 X C1024 X AS46000,17
2,2019 X 9 X C1024 X AS46000,0
0,2019 X 7 X C1026 X AS17005,0
1,2019 X 8 X C1026 X AS17005,0
2,2019 X 9 X C1026 X AS17005,0
0,2019 X 7 X C1026 X AS21126,0
1,2019 X 8 X C1026 X AS21126,0
2,2019 X 9 X C1026 X AS21126,0
0,2019 X 7 X C1026 X AS27000,69
1,2019 X 8 X C1026 X AS27000,73
2,2019 X 9 X C1026 X AS27000,65
0,2019 X 7 X C1026 X AS27132,21
1,2019 X 8 X C1026 X AS27132,15
2,2019 X 9 X C1026 X AS27132,8
0,2019 X 7 X C1026 X AS27133,10
1,2019 X 8 X C1026 X AS27133,0
2,2019 X 9 X C1026 X AS27133,0
0,2019 X 7 X C1026 X AS27134,0
1,2019 X 8 X C1026 X AS27134,0
2,2019 X 9 X C1026 X AS27134,0
0,2019 X 7 X C1026 X AS27137,41
1,2019 X 8 X C1026 X AS27137,2
2,2019 X 9 X C1026 X AS27137,20
0,2019 X 7 X C1026 X AS27138,74
1,2019 X 8 X C1026 X AS27138,0
2,2019 X 9 X C1026 X AS27138,99
0,2019 X 7 X C1026 X AS27139,0
1,2019 X 8 X C1026 X AS27139,0
2,2019 X 9 X C1026 X AS27139,0
0,2019 X 7 X C1026 X AS42018,0
1,2019 X 8 X C1026 X AS42018,0
2,2019 X 9 X C1026 X AS42018,0
0,2019 X 7 X C1026 X AS46000,0
1,2019 X 8 X C1026 X AS46000,0
2,2019 X 9 X C1026 X AS46000,0
0,2019 X 7 X C1027 X AS17005,0
1,2019 X 8 X C1027 X AS17005,0
2,2019 X 9 X C1027 X AS17005,0
0,2019 X 7 X C1027 X AS21126,0
1,2019 X 8 X C1027 X AS21126,0
2,2019 X 9 X C1027 X AS21126,0
0,2019 X 7 X C1027 X AS27000,52
1,2019 X 8 X C1027 X AS27000,24
2,2019 X 9 X C1027 X AS27000,13
0,2019 X 7 X C1027 X AS27132,0
1,2019 X 8 X C1027 X AS27132,12
2,2019 X 9 X C1027 X AS27132,21
0,2019 X 7 X C1027 X AS27133,20
1,2019 X 8 X C1027 X AS27133,37
2,2019 X 9 X C1027 X AS27133,0
0,2019 X 7 X C1027 X AS27134,5
1,2019 X 8 X C1027 X AS27134,0
2,2019 X 9 X C1027 X AS27134,0
0,2019 X 7 X C1027 X AS27137,17
1,2019 X 8 X C1027 X AS27137,19
2,2019 X 9 X C1027 X AS27137,6
0,2019 X 7 X C1027 X AS27138,9
1,2019 X 8 X C1027 X AS27138,0
2,2019 X 9 X C1027 X AS27138,0
0,2019 X 7 X C1027 X AS27139,0
1,2019 X 8 X C1027 X AS27139,0
2,2019 X 9 X C1027 X AS27139,0
0,2019 X 7 X C1027 X AS42018,0
1,2019 X 8 X C1027 X AS42018,0
2,2019 X 9 X C1027 X AS42018,0
0,2019 X 7 X C1027 X AS46000,0
1,2019 X 8 X C1027 X AS46000,0
2,2019 X 9 X C1027 X AS46000,0
0,2019 X 7 X C1028 X AS17005,0
1,2019 X 8 X C1028 X AS17005,0
2,2019 X 9 X C1028 X AS17005,0
0,2019 X 7 X C1028 X AS21126,0
1,2019 X 8 X C1028 X AS21126,0
2,2019 X 9 X C1028 X AS21126,0
0,2019 X 7 X C1028 X AS27000,45
1,2019 X 8 X C1028 X AS27000,0
2,2019 X 9 X C1028 X AS27000,41
0,2019 X 7 X C1028 X AS27132,3
1,2019 X 8 X C1028 X AS27132,0
2,2019 X 9 X C1028 X AS27132,0
0,2019 X 7 X C1028 X AS27133,48
1,2019 X 8 X C1028 X AS27133,39
2,2019 X 9 X C1028 X AS27133,49
0,2019 X 7 X C1028 X AS27134,30
1,2019 X 8 X C1028 X AS27134,0
2,2019 X 9 X C1028 X AS27134,0
0,2019 X 7 X C1028 X AS27137,6
1,2019 X 8 X C1028 X AS27137,4
2,2019 X 9 X C1028 X AS27137,9
0,2019 X 7 X C1028 X AS27138,8
1,2019 X 8 X C1028 X AS27138,4
2,2019 X 9 X C1028 X AS27138,1
0,2019 X 7 X C1028 X AS27139,0
1,2019 X 8 X C1028 X AS27139,0
2,2019 X 9 X C1028 X AS27139,2
0,2019 X 7 X C1028 X AS42018,0
1,2019 X 8 X C1028 X AS42018,0
2,2019 X 9 X C1028 X AS42018,0
0,2019 X 7 X C1028 X AS46000,0
1,2019 X 8 X C1028 X AS46000,0
2,2019 X 9 X C1028 X AS46000,0
0,2019 X 7 X C1029 X AS17005,0
1,2019 X 8 X C1029 X AS17005,0
2,2019 X 9 X C1029 X AS17005,0
0,2019 X 7 X C1029 X AS21126,0
1,2019 X 8 X C1029 X AS21126,0
2,2019 X 9 X C1029 X AS21126,0
0,2019 X 7 X C1029 X AS27000,13
1,2019 X 8 X C1029 X AS27000,33
2,2019 X 9 X C1029 X AS27000,37
0,2019 X 7 X C1029 X AS27132,2
1,2019 X 8 X C1029 X AS27132,3
2,2019 X 9 X C1029 X AS27132,2
0,2019 X 7 X C1029 X AS27133,104
1,2019 X 8 X C1029 X AS27133,0
2,2019 X 9 X C1029 X AS27133,10
0,2019 X 7 X C1029 X AS27134,122
1,2019 X 8 X C1029 X AS27134,46
2,2019 X 9 X C1029 X AS27134,61
0,2019 X 7 X C1029 X AS27137,6
1,2019 X 8 X C1029 X AS27137,1
2,2019 X 9 X C1029 X AS27137,6
0,2019 X 7 X C1029 X AS27138,0
1,2019 X 8 X C1029 X AS27138,0
2,2019 X 9 X C1029 X AS27138,0
0,2019 X 7 X C1029 X AS27139,0
1,2019 X 8 X C1029 X AS27139,0
2,2019 X 9 X C1029 X AS27139,0
0,2019 X 7 X C1029 X AS42018,0
1,2019 X 8 X C1029 X AS42018,0
2,2019 X 9 X C1029 X AS42018,0
0,2019 X 7 X C1029 X AS46000,13
1,2019 X 8 X C1029 X AS46000,4
2,2019 X 9 X C1029 X AS46000,15
0,2019 X 7 X C1030 X AS17005,0
1,2019 X 8 X C1030 X AS17005,0
2,2019 X 9 X C1030 X AS17005,0
0,2019 X 7 X C1030 X AS21126,0
1,2019 X 8 X C1030 X AS21126,0
2,2019 X 9 X C1030 X AS21126,0
0,2019 X 7 X C1030 X AS27000,170
1,2019 X 8 X C1030 X AS27000,79
2,2019 X 9 X C1030 X AS27000,48
0,2019 X 7 X C1030 X AS27132,10
1,2019 X 8 X C1030 X AS27132,0
2,2019 X 9 X C1030 X AS27132,40
0,2019 X 7 X C1030 X AS27133,46
1,2019 X 8 X C1030 X AS27133,25
2,2019 X 9 X C1030 X AS27133,0
0,2019 X 7 X C1030 X AS27134,0
1,2019 X 8 X C1030 X AS27134,6
2,2019 X 9 X C1030 X AS27134,12
0,2019 X 7 X C1030 X AS27137,5
1,2019 X 8 X C1030 X AS27137,0
2,2019 X 9 X C1030 X AS27137,11
0,2019 X 7 X C1030 X AS27138,11
1,2019 X 8 X C1030 X AS27138,0
2,2019 X 9 X C1030 X AS27138,9
0,2019 X 7 X C1030 X AS27139,0
1,2019 X 8 X C1030 X AS27139,0
2,2019 X 9 X C1030 X AS27139,0
0,2019 X 7 X C1030 X AS42018,0
1,2019 X 8 X C1030 X AS42018,1
2,2019 X 9 X C1030 X AS42018,2
0,2019 X 7 X C1030 X AS46000,0
1,2019 X 8 X C1030 X AS46000,0
2,2019 X 9 X C1030 X AS46000,0
0,2019 X 7 X C1034 X AS17005,0
1,2019 X 8 X C1034 X AS17005,0
2,2019 X 9 X C1034 X AS17005,0
0,2019 X 7 X C1034 X AS21126,0
1,2019 X 8 X C1034 X AS21126,0
2,2019 X 9 X C1034 X AS21126,0
0,2019 X 7 X C1034 X AS27000,8
1,2019 X 8 X C1034 X AS27000,35
2,2019 X 9 X C1034 X AS27000,9
0,2019 X 7 X C1034 X AS27132,3
1,2019 X 8 X C1034 X AS27132,22
2,2019 X 9 X C1034 X AS27132,16
0,2019 X 7 X C1034 X AS27133,0
1,2019 X 8 X C1034 X AS27133,75
2,2019 X 9 X C1034 X AS27133,33
0,2019 X 7 X C1034 X AS27134,7
1,2019 X 8 X C1034 X AS27134,53
2,2019 X 9 X C1034 X AS27134,22
0,2019 X 7 X C1034 X AS27137,0
1,2019 X 8 X C1034 X AS27137,0
2,2019 X 9 X C1034 X AS27137,0
0,2019 X 7 X C1034 X AS27138,0
1,2019 X 8 X C1034 X AS27138,1
2,2019 X 9 X C1034 X AS27138,4
0,2019 X 7 X C1034 X AS27139,0
1,2019 X 8 X C1034 X AS27139,0
2,2019 X 9 X C1034 X AS27139,0
0,2019 X 7 X C1034 X AS42018,0
1,2019 X 8 X C1034 X AS42018,0
2,2019 X 9 X C1034 X AS42018,0
0,2019 X 7 X C1034 X AS46000,0
1,2019 X 8 X C1034 X AS46000,0
2,2019 X 9 X C1034 X AS46000,0
0,2019 X 7 X C1035 X AS17005,0
1,2019 X 8 X C1035 X AS17005,0
2,2019 X 9 X C1035 X AS17005,0
0,2019 X 7 X C1035 X AS21126,0
1,2019 X 8 X C1035 X AS21126,0
2,2019 X 9 X C1035 X AS21126,0
0,2019 X 7 X C1035 X AS27000,5
1,2019 X 8 X C1035 X AS27000,11
2,2019 X 9 X C1035 X AS27000,0
0,2019 X 7 X C1035 X AS27132,5
1,2019 X 8 X C1035 X AS27132,0
2,2019 X 9 X C1035 X AS27132,0
0,2019 X 7 X C1035 X AS27133,0
1,2019 X 8 X C1035 X AS27133,0
2,2019 X 9 X C1035 X AS27133,0
0,2019 X 7 X C1035 X AS27134,0
1,2019 X 8 X C1035 X AS27134,29
2,2019 X 9 X C1035 X AS27134,43
0,2019 X 7 X C1035 X AS27137,0
1,2019 X 8 X C1035 X AS27137,1
2,2019 X 9 X C1035 X AS27137,11
0,2019 X 7 X C1035 X AS27138,0
1,2019 X 8 X C1035 X AS27138,2
2,2019 X 9 X C1035 X AS27138,2
0,2019 X 7 X C1035 X AS27139,0
1,2019 X 8 X C1035 X AS27139,0
2,2019 X 9 X C1035 X AS27139,0
0,2019 X 7 X C1035 X AS42018,0
1,2019 X 8 X C1035 X AS42018,0
2,2019 X 9 X C1035 X AS42018,0
0,2019 X 7 X C1035 X AS46000,49
1,2019 X 8 X C1035 X AS46000,43
2,2019 X 9 X C1035 X AS46000,23
0,2019 X 7 X C1051 X AS17005,0
1,2019 X 8 X C1051 X AS17005,0
2,2019 X 9 X C1051 X AS17005,0
0,2019 X 7 X C1051 X AS21126,0
1,2019 X 8 X C1051 X AS21126,0
2,2019 X 9 X C1051 X AS21126,0
0,2019 X 7 X C1051 X AS27000,127
1,2019 X 8 X C1051 X AS27000,22
2,2019 X 9 X C1051 X AS27000,36
0,2019 X 7 X C1051 X AS27132,0
1,2019 X 8 X C1051 X AS27132,1
2,2019 X 9 X C1051 X AS27132,2
0,2019 X 7 X C1051 X AS27133,30
1,2019 X 8 X C1051 X AS27133,69
2,2019 X 9 X C1051 X AS27133,37
0,2019 X 7 X C1051 X AS27134,0
1,2019 X 8 X C1051 X AS27134,19
2,2019 X 9 X C1051 X AS27134,0
0,2019 X 7 X C1051 X AS27137,3
1,2019 X 8 X C1051 X AS27137,1
2,2019 X 9 X C1051 X AS27137,0
0,2019 X 7 X C1051 X AS27138,0
1,2019 X 8 X C1051 X AS27138,1
2,2019 X 9 X C1051 X AS27138,5
0,2019 X 7 X C1051 X AS27139,0
1,2019 X 8 X C1051 X AS27139,0
2,2019 X 9 X C1051 X AS27139,0
0,2019 X 7 X C1051 X AS42018,0
1,2019 X 8 X C1051 X AS42018,0
2,2019 X 9 X C1051 X AS42018,0
0,2019 X 7 X C1051 X AS46000,0
1,2019 X 8 X C1051 X AS46000,0
2,2019 X 9 X C1051 X AS46000,0
0,2019 X 7 X C1054 X AS17005,0
1,2019 X 8 X C1054 X AS17005,0
2,2019 X 9 X C1054 X AS17005,0
0,2019 X 7 X C1054 X AS21126,0
1,2019 X 8 X C1054 X AS21126,0
2,2019 X 9 X C1054 X AS21126,0
0,2019 X 7 X C1054 X AS27000,165
1,2019 X 8 X C1054 X AS27000,26
